account_id,amount,memo
YCpv2PVSCZoRTk4Qy362foXKcd5W7hn6Jg18mDu7edrtspT,4521.678491,
W2yRxGvhA44BaVuXjfe4t8z5cGP5KnmuogjitjyJwFTbNYE,1369.329032,
ZyjfrqazjQZhofgN7hBUoiZBxsBg3hYuiRrUCC2rypP7rMi,5384.564511,
WVGf5uMkYVKtp47rbMtQCJdXJjmQczHmBcoKdEGPjiAsXPR,6096.645156,
WoHLmYgfk8tavSb9QoEqEQUnyVgDmqMtQzTuJSPeStWfnFN,523.396987,
XDmoBYKW4qeLfhZnqkYzrXZAxvAKeJ556ZeRuoRizvpqp1u,968.625927,
WYgRB6NnSQm9FLA27JbLpz8qQvRg3AxZDyrtqKc9bhaec3x,508.053763,
Yy6rc3LMz3h5exLqL5HmYttTXBDBRK6ws2CNTeCR86qJ4km,1016.107526,
b9mbzqxwj7Qdg2ChoGtKb8mF8qQz4zRgAj1DBsqcXW4rgNj,1885.362665,
Xu9tjeYqLvHRVCid5S7W11zhPWHUBfij3gzCFFaEmwcF4RA,1898.596913,
Z2s5uTFZkSU8NgC5hAoocKHNWfLX5ACvWjNezFPFzRDFUnN,124794.261896,
WB8wvYTm6aqh98Exd3qkkFebW6eSD4iQxnRjBk58ZsH1Aae,1800.716332,
Wm66LskkaJVHed9jnmDKZP1qGpa7yQ9WFWHDZnZrmUwXXaw,536.327971,
YSemNc3ibcMusyCqxr8oQUCN4R7ccwMV9QvDK64bvCTDGoR,22001.776258,
X5gDECaNz2NFh4nJNqWPKnaHNcSpp6v9niMx6zMREXzinit,1422.550537,
ZenoaHtDtDnmbouk3yhbChDd58LThDJ1RmkfheA75uBMMig,1728.029762,
bgf67xiedfFHA57iHjxZfwB3HgLwrGYpaWxGwBySTvF59NZ,643.134301,
Z7eS7Yu4zAPgcwoWAQWQbxpiJmdTxFNHh7xx25hWCYhTTcn,5131.343006,
bYe5k3DYiDdVidH1ZPJkhZd5p4vqd3ppPT9YG4Pnt8jVhXF,5541.850446,
ZDDWPbBVziu8wDx1XARj4aRybrWuZeT8tEXmeNKshGFgkkM,12294.697842,
YdD95ysM8vG1GrJGKza23Y6WpdiuNGUAFVwTSB3RzSKmHyg,30788.058034,
b6oDErkHQjmLKjjw7XLD8jKFLUsVBTWQTQsZWbmFieD2HPj,2193.785376,
Yf3V1T43fZx4B3LEDemE63bGjp977mxj61deBPybTfHokTo,1026.268602,
Zq2t7ZCBPzh8MPHtppMUswGveAYTdDpv8kKiWpztVdHbN7d,4105.074405,
YeeXD9kcJMLBeag5uuBD3cM9rqc4XVHRtUuP2QdhgDCsq3b,2768.893008,
bNUZzYYr7wuiHfPbLvnnKw2LgqoRxvia7h6BPSSucxzmY2L,20618.403271,
WT8Wi1yLntp8ntm1u6gARiKPdbFo5n2imvaoucsHWKhGXeN,1669.080752,
YUgwhBFvBs9FNQrmhq14CgAz32R8aVMeYiqhesJyrGoD9fe,51110.208551,
Y7bTm8iedPVYyAHVK8fUsKxeni99evVFPRCW2pNyzGYrFa6,609.664516,
WiJeG9a5hug8kKdosjtdCrJ3cVWWNdxtb8HXSQpgjo5jYMf,1016.107526,
VxLh2srUp1gXXDeBsjX4MJ6myr57T4rXQg6hTReupbitT5T,9072.460739,
Xoyya1qP64ierWTG7uruAgJN14Gw9RBXQTrse4uWuZiHckL,1742.624407,
ZqtCxmvGiQBwTyRvoinQSAQWALyiJX5Rw8TWb87ZHQfN699,5080.53763,
bH61FQzTheFvczcBmcJoaLwkzQETJa8ZAq2r97zSRG8RzWZ,1539.402902,
YhMvFy2XUPnuvaWLfaFdEqpzGJYDMTKskUV9DVBbx9R4hpP,508.053763,
XFikmDYxGG2JVx6BkP84mqAsGjTpa6xfLg5Ev46ThndU3xt,513.134301,
X3JX25a3ZtiSL9cd2j1hS6SjYBYrQKpvMTiwFvRW7qmqQWS,513.134301,
ZtJsRdthiT7YQriZjkKu6xcZYhB7HPF8Zz5dLRAkqEpEVyd,2171.040438,
WaJwkMM8SGqJ56GC5Bnc42jWEYYy27uY53R49hSdgcg9aET,2133.825805,
XcyhbU8Ex8jPvr9MgWZujgsjYwY5muxPZh8TAoccvZUNzNr,1917.069747,
XVGbWQKrBPQqoRXicYn7Y56AjjWgHCDC1Dqoias7fDBiXWq,2540.268815,
bc3QawSveqBTrDTkrRuzkYKatNqZw6G9Y7H3DxGm92qtDG1,1016.107526,
WSAtwjCdzxw5dD8dirsWVkm7ur9uJZE4o1JExoqMdh4KVwN,1742.624407,
bF8mUs2noRWT3jdfDNhhpkhET2DPUKAVmLqRcwhxuV19MMA,1718.579137,
b1Yw57cCz1bQuT7ZFxNhUZThNMGcHPDAeJP64iTnXhj4Scj,23573.6946,
YqpsFbGko5cdUAdQujrk5qj2UY2Wrug3xYUN8NjhakTvEdK,10262.686012,
a7Tq4favHrenoMT7NoZ8UfzKAmiugYFkwVHaNyfCm2waoVR,1026.268602,
XkUNFYqqZ1rv4sK2rbj68ciypfNe8qCH77FGpuWwjqUqX2y,2495.164063,
aJ1k9UdjkrJGJEmt4iCtnYVGHi3Nnqw3cSD6jnPCN3LZDeo,5706.053423,
axYdADPkYznxWcnYm213YSewZW54wR2sGsZacC3XGAqxvYW,1016.107526,
WAhEhjNVJtzdYp6tmzEV5eZX4uv7QTCiCkqzmgyYjiaHYiL,2052.537203,
X5MmzPKCe11CZk7pcxjHwYdEeWSH5B9Fmk4sub4vDUrqjo7,22557.587074,
